column_number,column_name,description
1,genome,the reference genome; one of two genomes if a mixed-species sample
2,isGap,denotes regions of the genome that are neither in a selection target nor in a gene
3,onTarget,denotes regions of the genome that are in a selection target
4,inGene,denotes regions of the genome that are in any gene
5,inTargetGene,denotes regions of the genome that are in the specific gene that defines a target region
6,targetGene,the name of the specific defining target gene when inTargetGene is true; NA otherwise
7,jxnType,"the junction type; one of deletion, duplication, inversion, translocation"
8,isLocalSv,true if the two breakpoints of a junction were within 1Mb on the same chromosome
9,isInterGenome,true if the two breakpoints of a junction were on different genomes of a mixed-species sample
10,isValidated,true if the junction was validated by 3 or more reads; false means the junction had a single read (junctions with two reads are excluded)
11,hasAllowedSize,true if any molecule that sequenced a junction was within the allowed insert size range
12,hasDisallowedSize,true if any molecule that sequenced a junction was not within the allowed insert size range
13,nBkpts,the number of breakpoints that match the key defined by columns 1 to 11
14,fracBkpts_genome,the fraction of nBkpts within genome
15,fracBkpts_all,the fraction of nBkpts within both genomes if a mixed-species sample; otherwise equal to fracBkpts_genome
