category,environment_variable,Illumina_2x150,Aviti_2x150,Aviti_1x300,Ultima,ONT,PacBio,description
platform general,HAS_BASE_ACCURACY,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE if platform base accuracy supports single-read variant calling
,READ_LENGTH_TYPE,short,short,short,short,long,long,short or long read formats
,READ_PAIR_TYPE,paired,paired,unpaired,unpaired,unpaired,unpaired,paired or unpaired reads
,IS_FIXED_READ_LENGTH,TRUE,TRUE,TRUE,,,,TRUE if reads are always the same length
,FIXED_READ_LENGTH,150,150,300,,,,length of fixed-length reads; e.g. 150 not 151 as sequenced
,IS_END_TO_END_READ,,,,,,TRUE,TRUE if all reads always span the entire insert
pre-alignment processing (fastp),PLATFORM_MIN_INSERT_SIZE,50,50,50,50,250,250,reject (merged) reads shorter than this length
,TRIM_POLY_X,TRUE,,,,,,instruct fastp to remove poly-G (and other poly-X) tails for minimap2 alignment efficiency
,POLY_X_MIN_LEN,20,,,,,,length threshold for TRIM_POLY_X
,TRIM_ADAPTERS,TRUE,TRUE,TRUE,,,,TRUE to instruct fastp to trim adapters (others trimmed by other tools)
,QUALIFIED_QUALITY_PHRED,30,35,35,30,18,30,same as the similarly named fastp option
,UNQUALIFIED_PERCENT_LIMIT,25,25,25,25,25,25,same as the similarly named fastp option
,AVERAGE_QUAL,30,35,35,30,18,30,same as the similarly named fastp option
read alignment (minimap2),BANDWIDTH,100,100,100,100,500;3300,500;3300,minimap2 option -r (semicolon will be replaced by comma)
,ALIGNMENT_MODE,sr,sr,sr,sr,lr:hq,map-hifi,minimap2 option -x; use lr:hq not map-ont
RE fragment analysis,PLATFORM_MAX_INSERT_SIZE,1000,1000,1000,1000,5000000,100000,maximum insert size expected/allowed for platform or considered a potential proper insert
,MIN_TRAVERSAL_DELTA,50,50,50,50,1000,250,a set of junctions with less than this many bp difference in reference vs. read traversal are disregarded as suspect
,MIN_MAPQ,50,50,50,50,50,50,minimum minimap2 MAPQ for an alignment to be used for analysis
,MAX_DIVERGENCE,0.05,0.05,0.05,0.05,0.05,0.05,maximum gap-compressed sequence divergence for an alignment to be used for analysis
,MIN_FLANK_LEN,25,25,25,25,250,50,ignore SV junctions if either flanking alignment is fewer than this many bases
,MIN_AVG_BASE_QUAL,NA,NA,NA,NA,35,NA,ignore SV junctions if either flanking alignment has less than this average base quality
,CLIP_TOLERANCE,5,5,5,5,20,10,endpoints with more than this many clipped bp on outer molecule endpoints are discarded
,ACCEPT_ENDPOINT_DISTANCE,3,3,3,3,10,5,outer molecule endpoints within this many bp of a RE site are taken as matching that site and kept
,REJECT_JUNCTION_DISTANCE,5,5,5,5,25,10,junction node positions within this many bp of a RE site are rejected and split as presumptive artifacts
,INSERTION_WINDOW_SIZE,0,0,0,0,20,0,size of the window in bp to use when applying --min-insertion-window-qual
,MIN_INSERTION_WINDOW_QUAL,0,0,0,0,15,0,drop distal alignment(s) if a window of junction insertion bases has < this avg base quality
SNV analysis,MIN_SNV_INDEL_QUAL,30,35,35,30,,30,SNVs and indels are masked and ignored if the average local base quality is less than this number
SV analysis,MAX_JXN_BASES,1000,1000,1000,1000,10,1000,for junction insertions/microhomologies longer than this many bp do not use junction bases during indexing
,GROUP_BREAKPOINT_DISTANCE,20,20,20,20,500,20,pairs of junction breakpoints within this many bp may be aggregated as the same breakpoint
,GROUP_STEM_DISTANCE,5,5,5,5,100,5,pairs of SV adjusted summed stem lengths within this many bp may be aggregated as the same SV
,CROSS_REFERENCE_PADDING,100,100,100,100,1000,1000,extra bases to include on pseudo-reference contigs when performing junction realignment
,DEDUPLICATE_PLATFORM,,,,,TRUE,,true for ONT to trigger duplex molecule dedupliction that allows one unique fragment span per sequencing channel
